VariableId,Name,CategoryName,Definition
77,Extrinsic motivation,Performance expectancy,"The perception that users will want to perform an activity because it is perceived to be instrumental in achieving valued outcomes that are distinct from the activity itself, such as improved job performance, pay, or promotions."
78,Team Skills,,The technical and interpersonal abilities of members of the data warehousing team.
79,Job-fit,Performance expectancy,How the capabilities of a system enhance an individual's job performance.
80,Source Systems,,"The quality (e.g., standardization, readiness, disparity) of the source systems that data to the warehouse."
81,Development Technology,,"Effective hardware, software, methods, and programs to build the data warehouse."
82,Relative advantage,Performance expectancy,The degree to which using an innovation is perceived as being better than using its precursor.
83,Organizational Implementation Success,,"Implementation-level success in addressing organizational issues, such as change management, widespread support, and political resistance."
84,Project Implementation Success,,"Implementation-level success in completing the project on time, on budget, with the proper functionality."
85,Outcome expectations,Performance expectancy,Outcome expectations relate to the consequences of the behavior.
86,Technical Implementation Success,,Implementation-level success in overcoming technical problems.
87,Perceived ease of use,Effort expectancy,The degree to which a person believes that using a system would be free of effort.
88,Data Quality,,"The accuracy, comprehensiveness,
consistency, and completeness of the data
provided by the warehouse."
89,Complexity,Effort expectancy,The degree to which a system is perceived as relatively difficult to understand and use.
90,Ease of use,Effort expectancy,The degree to which using an innovation is perceived as being difficult to use.
91,System Quality,,The flexibility and integration of the data warehouse.
92,Perceived Net Benefits,,The benefits of the data warehouse as perceived by a data supplier.
93,Subjective norm,Social influence,The person's perception that most people who are important to him think he should or should not perform the behavior in question.
94,Social factors,Social influence,"The individual's internalization of the reference group's subjective culture, and specific interpersonal agreements that the individual has made with others, in specific social situations."
95,Image,Social influence,The degree to which use of an innovation is perceived to enhance one's image or status in one's social system.
96,Perceived behavioral control,Facilitating conditions,"Perceptions of internal and external
constraints on behavior and encompasses self-efficacy, resource facilitating conditions, and technology facilitating conditions."
97,Facilitating conditions,Facilitating conditions,"Objective factors in the environment that observers agree make an act easy to do,
including the provision of computer support."
98,Compatibility,Facilitating conditions,"The degree to which an innovation is perceived as being consistent with existing values, needs, and experiences of potential adopters."
99,Attitude toward behavior,Attitude toward using technology,An individual's positive or negative feelings about performing the target behavior.
100,Intrinsic motivation,Attitude toward using technology,The perception that users will want to perform an activity for no apparent reinforcement other than the process of performing the activity per se.
101,Affect toward use,Attitude toward using technology,"Feelings of joy, elation, or pleasure; or depression, disgust, displeasure, or hate associated by an individual with a particular act."
102,Affect,Attitude toward using technology,An individual's liking of the behavior.
103,Performance expectancy,,The degree to which an individual believes that using the system will help him or her to attain gains in job performance.
104,Effort expectancy,,The degree of ease associated with the use of the system.
105,Attitude toward using technology,,An individual's overall affective reaction to using a system
106,Social influence,,The degree to which an individual perceives that important others believe he or she should use the new system.
107,Facilitating conditions,,The degree to which an individual believes that an organizational and technical infrastructure exists to support use of the system.
108,Self-efficacy,,
109,Anxiety,,
110,Behavioral intention to use the system,,
117,Intention to Use,,
118,Perceived usefulness,,The extent to which a person believes that using a particular technology will enhance her/his job performance.
119,Perceived ease of use,,The degree to which a person believes that using the system will be free from effort.
120,Subjective norm,,The degree to which an individual believes that people who are important to him/her think she/he should perform the behavior in question.
127,Autonomy,,
128,Fairness of rewards,,
130,Temporal dissociation,Cognitive absorption,The inability to register the passage of time while engaged in interaction.
131,Focused immersion,Cognitive absorption,"The experience of total engagement where other attentional demands are, in essence, ignored."
132,Heightened enjoyment,Cognitive absorption,The pleasurable aspects of the interaction.
133,Control,Cognitive absorption,The user's perception of being in charge of the interaction.
134,Curiosity,Cognitive absorption,The extent the experience arouses an individual's sensory and cognitive curiosity.
135,Perceived ease of use,,"An individual's assessment that technology interaction will be relatively free of cognitive burden, i.e., ease of use reflects the facility with which the individual is able to interact with a particular software artifact."
136,Perceived usefulness,,The degree to which a person believes that using a particular system would enhance his or her job performance.
137,Personal innovativeness in information technology,,Willingness to try out any new technology.
138,Playfulness,,The degree of cognitive spontaneity in microcomputer interactions.
139,Behavioral intention to use,,
140,Self efficacy,,Confidence in one's ability to perform a particular task.
142,Perceived workload,,
143,Role ambiguity,,
144,Role conflict,,
145,Turnover Intention,,
146,Work exhaustion,,
147,Relative advantage,,The degree to which adopting/using the IT innovation is perceived as being better than using the practice it supersedes.
148,Trialability,,The degree to which one can experiment with an innovation on a limited basis before making an adoption or rejection decision.
149,Ease of use,,The degree to which using a particular system is free of effort.
150,Compatibility,,The degree to which adopting the IT innovation is compatible with what people do.
151,Result demonstrability,,The degree to which the results of adopting/using the IT innovation are observable and communicable to others.
152,Image,,The degree to which adoption/usage of the innovation is perceived to enhance one's image of status in one's social system.
153,Visibility,,The degree to which the innovation is visible in the organization.
154,Attitude,,Individual's salient beliefs about the consequences of adopting the information technology.
155,Normative beliefs,,
156,Subjective norm,,Normative beliefs that the person attributes to what relevant others (salient references) expect her to do with respect to adopting (or continuing to use) the information technology as well as her motivation to comply with those beliefs.
157,Voluntariness,,
158,Behavioral intention,,
162,Computer self-efficacy,,Beliefs about one's ability to perform a specific behavior  recognizing that our expectations of positive outcomes of a behavior will be meaningless if we doubt our capability to successfully execute the behavior in the first place.
169,Performance,Outcome expectations,Performance-related outcomes are those associated with improvements in job performance (efficiency and effectiveness) associated with using computers
170,Personal,Outcome expectations,"Relate to expectations of change in image or status or to expectations of rewards, such as promotions, raises, or praise."
171,Affect,,The enjoyment a person derives from using computers.
172,Anxiety,,The feelings of apprehension or anxiety that one experiences when using computers.
178,Loss of knowledge power,,The perception of power and unique value lost due to knowledge contributed to electronic knowledge repository (EKR).
180,Codification effort,,The time and effort required to codify and input knowledge into electronic knowledge repository (EKR).
184,Organizational reward,,The importance of economic incentives provided for knowledge contribution to electronic knowledge repository (EKR).
185,Image,,The perception of increase in reputation due to contributing knowledge to electronic knowledge repository (EKR).
186,Reciprocity,,The belief that current contribution to electronic knowledge repository (EKR) would lead to future request for knowledge being met.
187,Joint decision making,Integrative interorganizational process mechanisms: Enabling acquisition and assimilation,Extent to which an enterprise and its supply chain partner make joint decisions related to their interlinked business activities.
188,Knowledge self-efficacy,,The confidence in one's ability to provide knowledge that is valuable to the organization via electronic knowledge repositories (EKRs).
189,Enjoyment in helping others,,
190,Generalized trust,,"The belief in the good intent, competence and reliability of employees with respect to contributing and reusing knowledge."
191,Interorganizational process modularity,Integrative interorganizational process mechanisms: Enabling acquisition and assimilation,The extent to which interlinked processes between an enterprise and its supply chain partner are structured as relatively independent subprocesses with clear interfaces.
192,Pro-sharing norms,,The prevalence of norms that are intended to facilitate knowledge sharing in the organization.
193,Standard electronic business interfaces,Integrative interorganizational process mechanisms: Enabling acquisition and assimilation,The use of common specifications or formats (similar to those used with other partners) for exchange and processing of information at the interface between an enterprise and its supply chain partner.
194,Identification,,"The perception of similarity of values, membership and the loyalty with the organization."
201,Memory systems for interorganizational activities,Partner interface-directed information systems: Enabling assimilation and transformation,Use of IT-based systems by an enterprise to store and retrieve information related to previous exchanges with its supply chain partners.
202,Interpretation systems for interorganizational information,Partner interface-directed information systems: Enabling assimilation and transformation,Use of IT-based systems by an enterprise to manipulate and interpret information received from its supply chain partners.
203,Breadth of information exchanged,Facets of information exchanged,Exchange of information covering diverse areas related to interlinked business activities between an enterprise and its supply chain partner.
204,Quality of information exchanged,Facets of information exchanged,"The timeliness, accuracy, relevance, and value of information exchanged between an enterprise and its supply chain partner."
205,Privileged information exchanged,Facets of information exchanged,Exchange of confidential and exclusive information between an enterprise and its supply chain partners that provides the enterprise a unique perspective.
206,Coordination information exchanged,Facets of information exchanged,The exchange of information between an enterprise and its supply chain partner to synchronize their interlinked processes.
207,Operational efficiency,Absorptive capacity,Extent to which an enterprise responds to its supply chain partner's day-to-day needs in an efficient manner.
208,Partner-enabled market knowledge creation,Absorptive capacity,Extent to which working with a supply chain partner allows an enterprise to develop a better understanding of and response to the market and competitive environment.
213,Perceptions of task performance,,The ideas generated are a measure of the usefulness of brainstorming to organizational groups.
214,Perceptions of group-well being,,
215,Perceptions of member support,,
217,Strategic benefits,,Strategic benefits arise through firms positioning themselves to take advantage of opportunities arising in the relationship.
218,Operational benefits,,Operational benefits arise from lowered transaction and production costs through supply chain management system(SCMS)use.
219,Business-process specificity,,"The degree to which a supplier's key business processes such as operating processes, administrative processes, and quality-control processes are particular to the requirements of the focal firms in the relationship."
220,Domain-knowledge specificity,,The degree to which a supplier's critical expertise such as competitive analysis and strategy formulation and new-product development are particular to the requirement of the focal firm in the relationship.
221,Information technology use for exploitation,,"Exploitation is the extension or elaboration of old certainties. It is the class of actions whose goal is to improve operational efficiencies (e.g., through increased standardization, tighter process controls, and reduced manual intervention)."
222,Information technology use for exploration,,The pursuit of new possibilities. It is the class of activities whose goal is to learn about the environment and discover novel ways of creating value or solving old problems.
223,Product uncertainty,,
224,Retailer replaceability,,The ease with which a supplier can make the transition to working with other customers for their goods in the event they are not able to sell to the focal retailer.
227,Product characteristics,,
229,Usefulness,,"Subjects' perceptions of performance, productivity, effectiveness, and overall usefulness from using the target IT."
230,Attitude,,
231,Intention,,
232,Disconfirmation,,The extent to which subjects' pre-usage expectation of technology usage is contravened during actual usage experience.
233,Satisfaction,,"An individual's emotional state following IT usage experience, involves two dimensions: valence (positive versus negative) and intensity."
234,E-commerce activity,Web assimilation,The relative success of a firm (relative to its rivals) in using Web technologies for different e-commerce activities.
235,E-commerce strategies,Web assimilation,The extent to which companies were using web technologies in shaping specific strategies.
236,Executive participation,Top management championship,Respondents' ratings of the extent to which senior management actively participated in the management of web initiatives.
237,Executive beliefs,Top management championship,Respondents' ratings of the extent to which top management believed in the potential of the Web to realize operational and strategic benefits.
238,Strategic investment rationale,,Respondents' ratings of the importance placed on each criterion for justifying web-based projects.
239,Extent of coordination,,Different types of coordination mechanisms to manage web initiatives.
250,Trust in seller,,"A subjective calculation of the costs and benefits of the other party's cheating, subject to the other party's reputation as it is perceived by a network of market participants."
252,Risk propensity,,The tendency of a decision maker to take risky actions.
253,Risk perception,,The extent to which people of a culture feel threatened by unknown situations.
254,Willingness to continue a project,,
257,Anticipated extrinsic rewards,,The degree to which one believes that one will receive extrinsic incentives for one's knowledge sharing.
258,Anticipated reciprocal relationships,,The degree to which one believes one can improve mutual relationships with others through one's knowledge sharing.
259,Sense of self-worth,,The degree of one's positive cognition based on one's feeling of personal contribution to the organization (through one's knowledge-sharing behavior).
260,Affiliation,Organizational climate,The perception of togetherness.
261,Innovativeness,Organizational climate,"The perception that change and creativity are encouraged, including risk-taking in new areas where one has little or no prior experience."
262,Fairness,Organizational climate,The perception that organizational practices are equitable and non-arbitrary or capricious.
263,Attitude towards knowledge sharing,,The degree of one's positive feelings about sharing one's knowledge.
264,Subjective norm,,The degree to which one believes that people who bear pressure on one's actions expect one to perform the behavior in question multiplied by the degree of one's compliance with each one's referents.
265,Intention to share knowledge,,
270,Perceived usefulness,,The degree to which a person believes that using a particular system would enhance his or her job performance.
271,Perceived ease of use,,The degree to which a person believes that using a particular system would be free of effort.
273,Behavioral intention to use,,
274,Adoption by competitors,Mimetic pressures,The perceived extent of existing adoption by competitors in the primary industry to which an organization belongs.
275,Success of adoption by competitors,Mimetic pressures,"The extent to which the respondent indicated that competitors that have adopted financial electronic data interchange (FEDI) had benefitted greatly, and had been perceived favorably by others in their industry, supplier industry, and customer industry."
276,Dominance of supplier adopters,Coercive pressures,"Respondents' indications of whether their organization's well-being depended on these supplier adopters, whether they could switch to alternative suppliers, whether it was critical to maintain good relationships with these supplier adopters, and whether these supplier adopters represent the core suppliers in their industry."
278,Adoption by suppliers,Normative pressures,The perceived extent of existing financial electronic data interchange (FEDI) adoption by an organization's suppliers.
279,Adoption by customers,Normative pressures,Perceived extent of existing financial electronic data interchange (FEDI) adoption by an organization's customers.
281,Perceived innovation complexity,,Respondents' perceived complexity of using financial electronic data interchange (FEDI).
282,Intention to adopt,,Respondents' intention to adopt financial electronic data interchange (FEDI).
287,Intended use,,
288,Perceived ease of use,,The cognitive effort needed to learn and to utilize the new information technology (IT).
289,Perceived usefulness,,The individual's subjective assessment of the utility offered by the new information technology (IT) in a specific task-related context.
290,Trust,,
291,Calculative-based trust,,
292,Familiarity with the e-vendor,,
293,Structural assurances,,"Assessment of success due to safety nets such as legal recourse, guarantees and regulations that exist in a specific context."
294,Situational normality,,"An assessment that the transaction will be a success, based on how normal or customary the situation appears to be."
302,Perceived provider performance,,The perception of the user's experience with the Application Service Providers (ASP).
307,Reliability,Service quality expectations,Expectations of the ability to perform the promised service dependably and accurately.
308,Responsiveness,Service quality expectations,Expectations of the willingness to help customers and provide prompt service.
309,Computer self-efficacy,,"Individuals' judgment of their capabilities to use computers in
diverse situations."
310,Satisfaction with application service providers,,A user's satisfaction and understanding of the system and success.
311,Computer anxiety,,"Anxiety about the implications of computer use such as the loss of
important data or fear of other possible mistakes."
312,Assurance,Service quality expectations,Expectations of knowledge and courtesy.
315,Empathy,Service quality expectations,Expectations of providing caring and individualized attention to customers.
316,Interdependence,Interpersonal conflict,"The extent to which the project entailed joint collaboration between the information systems staff and users, as well as their dependence on each other to accomplish their work."
317,Personal innovativeness in information technology,,"The willingness of an individual to try out any new information
technology."
318,Prior systems integration,,Integration of organizational systems prior to using Application Service Providers (ASP) services.
319,Disagreement,Interpersonal conflict,"The extent to which information systems staff and users disagreed about how the project was managed, the system's goals, physical design, and implementation."
320,Functional capability of the application service provider,,The capability of the application service provider (ASP) in terms of functionality of the software.
322,Technical service guarantees,,"Services agreements that can guarantee network reliability, application reliability and scalability of the software."
324,Interference,Interpersonal conflict,"The extent to which information systems staff and users interfered with how the project was managed, the system's goals, physical design, and implementation."
325,User satisfaction,,
326,Trait anxiety,,"The general tendency to experience anxiety when confronted with problems or
challenges."
327,Maturity of internal information technology,,
328,Negative emotion,Interpersonal conflict,"An individual's feelings such as anger and frustration that are likely to result from disagreements with, and interference from, the other party."
329,Disconfirmation,,The consumer's post-purchase response of the discrepancy between prior expectations and actual product performance.
330,Information system continuance intention,,Users' intention to continue using online banking division (OBD).
331,Satisfaction,,Users' affect with (feelings about) prior online banking division (OBD) use.
332,Perceived usefulness,,Users' perception of the expected benefits of online banking division (OBD) use.
333,Confirmation,,Users' perception of the congruence between expectation of online banking division (OBD) use and its actual performance.
338,Perceived organizational support,,"Degree to which workers perceive the organization as providing help. caring, and appreciating their efforts."
339,Distributive justice,,Degree to which person perceives organization as giving fair rewards.
340,Perceived equivocality,,"Ambiguity, the existence of multiple and (potentially) conflicting interpretations about and organizational situation."
341,Alienation,,Degree to which person feels psychologically detached at work.
342,Perceived usefulness,,The degree to which people believe using a particular system would enhance their job performance.
343,In-role behaviors,,Degree to which person performs expected tasks.
345,Extra- Role Behaviors,,Degree to which person performs extra tasks.
346,Obedience,,Degree to which person complies with work rules.
347,Loyalty,,"Loyalty is allegiance to an organization and promotion of it interests. It relates to defending, promoting, and presenting a positive view of the organization."
349,Ethical behavior intention,,An individual's intention to perform (or not to perform) a specific behavior.
350,Trustworthiness,,"Trust is defined as conscious reliance on another person and allowing oneself to be vulnerable to another person in a situation where the other person's behavior is not controlled. 

Psychological state comprising the intention to accept vulnerability based upon positive expectations of the intentions or behavior of another."
353,Performance,,Degree to which person can fulfill responsibilities and meet quality standards.
354,Attitude toward ethical behavior,,The degree to which a person has a favorable or unfavorable evaluation of the behavior in question.
355,Personal normative beliefs,,The moral obligation to performing an act.
374,Perceived ease of use,,The degree to which computer technology is perceived as relatively easy to understand and use.
376,Perceived usefulness,,The prospective user's subjective probability that using a specific application system will increase his or her job performance within an organizational context.
383,Internal computing support,Intraorganizational factors,The technical support by individuals (or groups) with computer knowledge who were internal to the small firm.
384,Internal computer training,Intraorganizational factors,Amount of training provided by other computer users or computer specialists in the company.
395,Management support,Intraorganizational factors,The perceived level of general support offered by top management in small firms.
397,External computing support,Extraorganizational factors,The technical support by individuals (or groups) with computer knowledge who were external to the small firm.
400,External computer training,Extraorganizational factors,"The amount of training provided by friends, vendors, consultants, or 
educational institutions external to the company."
403,User involvement,,Subjective psychological beliefs regarding the importance and personal relevance of the system to the user.
405,User attitude,,Affective or evaluative feelings toward the system.
407,User self-efficacy,,
409,Desired participation,,
421,Cohesiveness,,The extent to which members are attracted to the group and to each other.
423,Perceptions of process,,"Group members' assessment of the interaction process, includes such aspects as trust, openness and participatory equality."
427,Satisfaction with outcome,,User satisfaction.
441,Quality,Task-technology fit,"Currency of data quality, maintenance of the necessary fields or elements of data, and maintenance of data at the right level or levels of data."
442,Locatability,Task-technology fit,"Ease of determining what data is available and where and ease of determining what a data element on a report or file means, or what is excluded or included in calculating it."
446,Authorization,Task-technology fit,Obtaining authorization to access data necessary to do the job.
447,Computer self-efficacy,,People's judgments of their capabilities to organize and execute courses of action required to attain designated types of performances.
448,Compatibility,Task-technology fit,Data from different sources can be consolidated or compared without inconsistencies.
449,Timeliness,Task- technology fit,Whether information systems (IS) meets pre-defined production turnaround schedules.
450,Reliability,Task- technology fit,Dependability and consistency of access and uptime of systems.
452,Training and ease of use,Task- technology fit,"Ease of using the system hardware and software for submitting, accessing, and analyzing data and whether the participant can get the kind of quality computer-related training when they need it."
455,Relationship,Task-technology fit,"How well information systems (IS) understands the participant's unit's business mission and its relation to corporate objectives, interest and dedication to supporting customer business needs, turnaround time for a request submitted for IS service, availability and quality of technical and business planning assistance for systems, and how well IS keeps its agreements."
457,Tangibles,Service quality perceptions,"Perceptions of physical facilities, equipment, and appearance of personnel."
458,Affect,,"Individuals' affect (or liking) for particular behaviors can under some circumstances, exert a strong influence on their actions."
459,Anxiety,,Feelings of anxiety surrounding computers are expected to negatively influence computer use.
460,Reliability,Service quality perceptions,Perceptions of ability to perform the promised service dependably and accurately.
467,Responsiveness,Service quality perceptions,Perceptions of willingness to help customers and provide prompt service.
470,Assurance,Service quality perceptions,Perceptions of knowledge and courtesy of employees and their ability to inspire trust and confidence.
472,Buying intention,,Attitudes toward purchasing behavior and assessment of the beliefs of people who are important to him or her about purchasing a computer.
473,Empathy,Service quality perceptions,"Perceptions of caring, individualized attention the service provider gives its customers."
474,Purchasibility,,The degree of resource capability factors that may influence the purchase and the availability of computers.
475,Perceived need,,Assessment of the need for a computer.
478,Responsiveness to computer news,,
480,Satisfaction with computers,,
483,Reliability,Expected information systems service quality,The ability to perform a promised service dependably and accurately
485,Reliability,Perceived information systems service quality,The ability to perform a promised service dependably and accurately
486,Powerlessness,Computer alienation,The respondents' feeling of computer dominance.
487,Meaninglessness,Computer alienation,"Lack of comprehension of computer concepts, systems, and applications."
488,Responsiveness,Expected information systems service quality,The willingness to help customers and to provide prompt service
490,Responsiveness,Perceived information systems service qualilty,The willingness to help customers and to provide prompt service
492,Normlessness,Computer alienation,High expectancies for (or commitment to) socially unapproved means vs. conventional means for the achievement of given goals.
493,Class evaluation,Collaborative learning effectiveness,
494,Social isolation,Computer alienation,The sense of exclusion or rejection versus social acceptance.
495,Group case exercise evaluation,Collaborative learning effectiveness,
496,Assurance,Expected information systems service quality,The knowledge and courtesy of employees and their ability to convey trust and confidence
497,Self-estrangement,Computer alienation,The individual's motives for using computers.
499,Assurance,Perceived information systems service quality,The knowledge and courtesy of employees and their ability to convey trust and confidence
500,Cultural estrangement,Computer alienation,The individual's rejection of commonly held values in the society (or subsector) versus commitment to the going group standard.
501,Empathy,Expected information systems service quality,The caring attitude which provides individual attention to customers
502,Empathy,Perceived information systems service quality,The caring attitude which provides individual attention to customers
503,User- information system relationship,User participation,Participation activities involving a relationship between the users and the IS staff.
504,Boundary-spanning activities,,"The extent to which a job involves communication and interaction with individuals outside the person's own department in the form of oral and writting communication, formal meetings, and informal contact."
507,Responsibility,User participation,Managerial assignments or activities that are typically performed by the project leader or manager.
508,Role conflict,,Additional work experiences that can affect the quality of work life adversely.
509,Role ambiguity,,Additional work experiences that can affect the quality of work life adversely.
510,Job rewards,,
511,Hands-on activities,User participation,Hands-on systems development activities that users personally perform.
512,Job involvement,,"An affective reaction to the job that is related to but is both conceptually and empirically distinct from job satisfaction, as well as forms of work commitment such as career commitment and organizational commitment."
514,Advancement prospects,Career expectations,Career expectations regarding the likelihood of promotability.
516,Developmental prospects,Career expectations,Careers expectations regarding internal job alternatives.
517,Job satisfaction,,Indicator of the quality of work life.
519,Career satisfaction,,The overall affective reaction of individuals to their careers.
521,Organizational commitment,,
529,Overall concern,Concern for privacy,
530,Financial management,Perceived usefulness of computer-based information,
531,Loss of control,Concern for privacy,
532,Operations management,Perceived usefulness of computer-based information,
533,Unauthorized secondary use of personal information,Concern for privacy,
534,Quality,Computer-based information characteristics,"Whether computer-based information (CBI) provides precise information, new information, and up-to-date information."
538,Benefits of mail shopping,Attitudes toward direct mail marketing,Perceptions about the benefits of direct mail compared with shopping for the same items in a store.
539,Cope with mail,Attitudes toward direct mail marketing,Whether the individual perceives that he or she is able to cope with the receipt of unwanted mail.
540,Accessibility,Computer-based information characteristics,Whether computing saves the manager time in looking for information.
541,Opt out of mailing lists,Attitudes toward direct mail marketing,"The ability of individuals to ""opt out""- to have their names removed from mailing lists."
542,Cost of computer-based information use,Computer-based information characteristics,"If time and money must be expended in reorganizing, extracting, aggregating, or otherwise formatting the data for managerial use."
549,Attitudes toward secondary use,,
557,Reliance on experts,Individual characteristics,
561,Computer anxiety,,"The tendency of individuals to be uneasy, apprehensive, or fearful about current or future use of computers."
565,Professionalism of organization,Environmental characteristics,
567,Computer efficacy beliefs,,One's beliefs in one's ability to perform a specific task.
569,Changes in expectations,,
576,Involvement,,
588,Social factors influencing personal computer use,,"Norms for PC use at the peer, superior, and organizational level."
589,Affect toward personal computer use,,"The feelings of joy, elation, or pleasure, or depression, disgust, displeasure, or hate associated by an individual with a particular act."
590,Executive participation,,The chief executive officer's participation in information technology (IT) management as reported by the IT manager.
591,Complexity of personal computer use,Near-term consequences,The degree to which an innovation is perceived as relatively difficult to understand and use.
592,Microcomputer playfulness,,"An individual's tendency to interact spontaneously, inventively, and imaginatively with microcomputers."
597,Job fit with personal computer use,Near-term consequences,The extent to which an individual believes that using a PC can enhance the performance of his or her job.
598,Long-term consequences of personal computer use,,
599,Executive involvement,,The chief executive officer's involvement in information technology (IT) management as reported by the IT manager.
600,Facilitating conditions for personal computer use,,"Objective factors, 'out there' in the environment, that several judges or observers can agree make an act easy to do."
603,Effort,,
606,Perceived usefulness: Organizational skills,Perceived deficiency,"Perceived usefulness of interpersonal communication, interpersonal behavior, group dynamics and project management."
638,Perceived usefulness [study 1],,The degree to which a person believes that using a particular system would enhance his or her job performance.
643,Perceived Usefulness [study 2],,The degree to which a person believes that using a particular system would be free of effort.
646,Perceived ease of use [study 1],,The degree to which a person believes that using a particular system would be free of effort.
648,Perceived Ease of Use [study 2],,The degree to which a person believes that using a particular system would enhance his or her job performance
669,Implementation success,,
672,Implementation stress,,Degree of stress experienced when system was installed.
681,Managers' attitudes towards implementation,,Managers attitudes/behavior towards implementation of new system.
682,Managers' satisfaction with the system,,Managers' content with the computer system.
684,Content,End-user computing satisfaction,
685,Accuracy,End-user computing satisfaction,
687,Format,End-user computing satisfaction,
688,Ease of use,End-user computing satisfaction,
690,Timeliness,End-user computing satisfaction,
725,Performance,User attitudes toward patient care system,The perceived effect of the new system on the employees' job performance and performance visibility.
732,Variety,Job perception,
742,Accountability,,The extent to which user managers are held responsible by their superior for meeting their data processing
743,Cost variability,,The extent to which the charges are proportional to the services received.
744,Involvement,,"The meaningfulness, accuracy, and timeliness of the data processing charges as perceived by the users themselves."
745,Chargeback information use,,The extent to which user-managers analyze and control their data processing expenses during the budgeted period.
746,Authority,,The users' power to decide on the quantity and type of services they receive from the data processing department.
747,Quality of billing information,,"The meaningfulness, accuracy and timeliness of the data processing charges as perceived by the users themselves."
768,Career satisfaction,,
770,Organizational commitment,,"The identification with a particular organization, willingness to exert considerable effort on behalf of the organization, and the desire to maintain membership in the organization."
779,Task-based rewards,Perceived job characteristics,The extent to which employees' current job provided them with various opportunities and rewards.
781,Organization-based rewards,Perceived job characteristics,The extent to which employees' current job provided them with various opportunities and rewards.
786,Collection,Organizational information privacy concern,Concern that extensive amounts of personally identifiable data are being collected and stored in databases.
788,Unauthorized secondary use,Organizational information privacy concern,"Concern that information is collected for one purpose, but it is used for another, secondary purpose after disclosure to an external party (not the collecting organization), and a concern that information is collected from individuals for one purpose, but it is used for another, secondary purpose (internally within a single organization) without authorization from the individuals)"
789,User information satisfaction,,"A multidimensional attitude towards various aspects of the MIS such as output quality, man-machine interface, EDP staff and services, and various user constructs such as feelings of participation and understanding."
790,Improper access,Organizational information privacy concern,Concern that data about individuals are readily available to people not properly authorized to view or work with this data.
792,Errors,Organizational information privacy concern,Concern that protections against deliberate and accidental errors in personal data are inadequate.
800,Future behavioral intentions,,Future behavioral intentions with respect to information privacy.
806,Previous personal experiences,,
807,Media coverage,,
854,Information systems manager knowledge,Managerial information technology knowledge,"An organization's absorptive capacity reflects its capability to absorb, through its internal knowledge structures, information regarding appropriate innovations so that these innovations can be applied in support of operational or strategic activities. A major component of an organizations absorptive capacity regarding IT is represented by the conjunction of IT-related and business-related knowledge possessed by and exchanged among IT managers and business unit or line managers."
879,Overall uncertainty,Task characteristics,The difference between the information on hand and the information needed to complete a task. Measured using a four item scale.
880,Information on hand,Task characteristics,Adequacy of information on hand.
881,Dynamism,Task characteristics,The perceived rate of change of the task environment measured from no change to complete change (100%).
882,Complexity: input environment,Task characteristics,Subjects' ratings of the degree to which environmental elements related to the input environment are relevant to the conduct of their job.
883,Complexity: output environment,Task characteristics,Subjects' ratings of the degree to which environmental elements related to the output environment are relevant to the conduct of their job.
884,Economic environment,Task characteristics,Subjects' ratings of the degree to which economic elements related to the input environment are relevant to the conduct of their job.
890,Person-role conflict,Role conflict,"The extent to which role expectations are incongruent with the orientations, standards, or values of the focal person."
